name,description,price,location,date_added
Contemporary Mansion On 600sqm,"Click on 'video' to watch the walk-through tour of the property.

Massive Contemporary 5 Bedroom Detached House In A Gated Estate With Security Guards.


Location: Orchid, Lekki, Lagos. 5 Mins Drive From Chevron

Price: ₦210 Million Naira

Land size : 600sqm

Features include :
- All Rooms Ensuite
- Cinema
- Swimming Pool
- Massive Terrace/Balcony
- Spacious Compound
- Very Spacious Fitted Kitchen
- Stamped Concrete Floor
- Inbuilt Speakers
- CCTV Cameras
- BQ/Maid's Room
- Jacuzzi
- Pop Ceiling
- Water Heaters
- Family Lounges
- Water Treatment
- 24 Hours Security

Title: Lagos State Governor's Consent.

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com",210000000," Orchid, Lekki Phase 2, Lekki, Lagos",12/21/2021
Newly Built 4 Bedroom Semi Detached Duplex With Bq,"NEWLY BUILT 4 BEDROOM SEMI DETACHED DUPLEX FOR SALE!!!

Location: 2nd toll gate LEKKI
Lagos
Price: 75 MILLION NAIRA

Features:
- All Rooms Ensuite
- POP Ceilings
- Dining Area
- Fitted Kitchen
- Water Heaters
- Stamp Concrete Floors
- Walk-in Closet
- Walk-in Shower
- Spacious living room
- Amazing balcony view
- Treated water
- 24 hrs power supply
- Car port
- Beautiful finishing touches
-------------------------------------------------
0705 248 8067",75000000," 2nd Toll Gate, Lekki, Lagos",Today
Newly Built 5bedroom Fully Detached Duplex With Bq,"Newly built 4bedroom semi detached duplex with Bq, in a well Serene environment

Price: 80m

Location: Ologolo Lekki Lagos

Features:
Serene Estate,,
Packing lot
Interlocking
All rooms en-suite,
Spacious rooms,
Brand new,
Fitted kitchen,
Family Lounge,
Security house,
Quality sanitary fittings,
Water heaters etc

.⁣______________________________
For Enquiries
Call:08087813295

#agathahomes #ebyproperties #investment #forsale #affordable #obamaka #realestate #lekkihomes",80000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Newly Built 4 Bedroom Terraced Duplex With Swimming Pool,"NEWLY BUILT 4 BEDROOM TERRACED DUPLEX FOR SALE!!!

Location: 2nd toll gate LEKKI
Lagos
Price: 57 MILLION NAIRA

Features:
- All Rooms Ensuite
- POP Ceilings
- Dining Area
- Fitted Kitchen
- Water Heaters
- Stamp Concrete Floors
- Walk-in Closet
- Walk-in Shower
- Spacious living room
- Amazing balcony view
- Treated water
- 24 hrs power supply
- Car port
- Beautiful finishing touches
-------------------------------------------------
0705 248 8067",57000000," Orchid Road, Lekki, Lagos",Today
4 Bedroom Terraced Duplex With A Pool And Gym,"4 bedroom terraced duplex with a pool and gym for sale in Ajah. On the market for 45m, would be 50m by March.

For More Enquiries

+234 906 155 7176
+234 816 592 0863

info@crescohomes.com
www.crescohomes.com",45000000," Ajah, Lagos",2/15/2022
Luxury Built 4 Bedroom Duplex,"4 bedroom luxury built duplex with fantastic finishings

Nestled secured and beautiful service mini court at Ologolo Lekki LAGOS

Price: N75million

Features:
- Newly built
- Serene and homely environment
- 2 Living rooms
- All Rooms En-suite
- CCTV Cameras
- Estate Security
- Fitted Kitchen (cooker, extractor, microwave)
- Bathtub
- Shower
- Beautiful lightings
- Stamp Concrete Floor
- Spanish/Italian tile finishing
- Estate security
- swimming pool
- Great neighborhood
Etc

Pls call Nnenna 08039177061 For more information and arrangement to view / Email: info@nevickhillsrealty.com",75000000," In A Service Estate At Ologolo, Lekki Phase 2, Lekki, Lagos",Today
Newly Built 5bedroom Terrace Duplex Bq,"Newly built 5 bedroom terrace duplex with Bq, in a well Serene environment

Price: 75m

Location: Ologolo Lekki Lagos

Features:
Serene Estate,,
Packing lot
Interlocking
All rooms en-suite,
Spacious rooms,
Brand new,
Fitted kitchen,
Family Lounge,
Security house,
Quality sanitary fittings,
Water heaters etc

.⁣______________________________
For Enquiries
Call:08087813295

#agathahomes #ebyproperties #investment #forsale #affordable #obamaka #realestate #lekkihomes",75000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Newly Built 4bedroom Terrace Duplex With Bq,,150000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Luxury Built And Exquisite Finished 4 Bedroom Duplex,"4 bedroom luxury built duplex with fantastic finishings

Nestled secured and beautiful service mini court at Ologolo Lekki LAGOS

Price: N140million

Features:
- Newly built
- Serene and homely environment
- 2 Living rooms
- All Rooms En-suite
- CCTV Cameras
- Estate Security
- Fitted Kitchen (cooker, extractor, microwave)
- Bathtub
- Shower
- Beautiful lightings
- Stamp Concrete Floor
- Spanish/Italian tile finishing
- Estate security
- swimming pool
- Great neighborhood
Etc

Pls call Nnenna 08039177061 For more information and arrangement to view / Email: info@nevickhillsrealty.com",140000000," In A Serene And Homely Estate At Ologolo, Lekki Phase 2, Lekki, Lagos",Today
Fully Furnished 5 Bedrooms House With Garden,"Click on video to watch the full video tour of the property.

The best house for you, if you're tired of seeing houses without plants because this has a beautiful garden.


For Sale - Furnished 5 Bedroom House In A Gated Estate With Security Guards.

Located in a serene residential community/estate with security guards off Orchid hotel road, after Chevron, Lekki, Lagos.

Price: ₦200 Million (Negotiable with & without the furniture)

Land size : 600sqm

Features include :
- Fully Furnished.
- All 5 Bedrooms Are Ensuite. One room on the ground floor
- Foyer/Ante Room
- Guest Toilet
- Dedicated dining room
- Spacious kitchen with all the necessary kitchen appliances.
- Dedicated laundry room
- Maid's Room/Boys' Quarters(BQ)
- Beautiful Garden
- Massive Compound with parking space for up to 6 cars.
- Massive Terrace/Balcony
- Very spacious Kitchen with all the necessary appliances.
- Air conditioners(ACs) installed
- Stamped Concrete Floor
- Inbuilt Speakers
- CCTV Cameras
- High ceiling
- Jacuzzi
- Pop Ceiling
- Water Heaters
- Family Lounges
- Water Treatment
- 24 Hours Security

Title: Lagos State Governor's Consent.

The serene estate has good drainage, good road network, good electricity, good security, sport and recreational facilities.

Distress sale!

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com",200000000," Chevron, Lekki Phase 2, Lekki, Lagos",12/21/2021
Contemporary Mansion On 600sqm,"Click on 'video' to watch the walk-through tour of the property.

Massive Contemporary 5 Bedroom Detached House In A Gated Estate With Security Guards.


Location: Orchid, Lekki, Lagos. 5 Mins Drive From Chevron

Price: ₦210 Million Naira

Land size : 600sqm

Features include :
- All Rooms Ensuite
- Cinema
- Swimming Pool
- Massive Terrace/Balcony
- Spacious Compound
- Very Spacious Fitted Kitchen
- Stamped Concrete Floor
- Inbuilt Speakers
- CCTV Cameras
- BQ/Maid's Room
- Jacuzzi
- Pop Ceiling
- Water Heaters
- Family Lounges
- Water Treatment
- 24 Hours Security

Title: Lagos State Governor's Consent.

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com",210000000," Orchid, Lekki Phase 2, Lekki, Lagos",12/21/2021
Newly Built 4 Bedroom Semi Detached Duplex With Bq,"NEWLY BUILT 4 BEDROOM SEMI DETACHED DUPLEX FOR SALE!!!

Location: 2nd toll gate LEKKI
Lagos
Price: 75 MILLION NAIRA

Features:
- All Rooms Ensuite
- POP Ceilings
- Dining Area
- Fitted Kitchen
- Water Heaters
- Stamp Concrete Floors
- Walk-in Closet
- Walk-in Shower
- Spacious living room
- Amazing balcony view
- Treated water
- 24 hrs power supply
- Car port
- Beautiful finishing touches
-------------------------------------------------
0705 248 8067",75000000," 2nd Toll Gate, Lekki, Lagos",Today
Newly Built 5bedroom Fully Detached Duplex With Bq,"Newly built 4bedroom semi detached duplex with Bq, in a well Serene environment

Price: 80m

Location: Ologolo Lekki Lagos

Features:
Serene Estate,,
Packing lot
Interlocking
All rooms en-suite,
Spacious rooms,
Brand new,
Fitted kitchen,
Family Lounge,
Security house,
Quality sanitary fittings,
Water heaters etc

.⁣______________________________
For Enquiries
Call:08087813295

#agathahomes #ebyproperties #investment #forsale #affordable #obamaka #realestate #lekkihomes",80000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Newly Built 4 Bedroom Terraced Duplex With Swimming Pool,"NEWLY BUILT 4 BEDROOM TERRACED DUPLEX FOR SALE!!!

Location: 2nd toll gate LEKKI
Lagos
Price: 57 MILLION NAIRA

Features:
- All Rooms Ensuite
- POP Ceilings
- Dining Area
- Fitted Kitchen
- Water Heaters
- Stamp Concrete Floors
- Walk-in Closet
- Walk-in Shower
- Spacious living room
- Amazing balcony view
- Treated water
- 24 hrs power supply
- Car port
- Beautiful finishing touches
-------------------------------------------------
0705 248 8067",57000000," Orchid Road, Lekki, Lagos",Today
Four Bedroom Terrace,"Located in Lekki phase 1.

All rooms en-suite
Fully fitted kitchen
Perimeter security
Water treatment system
Built on three floors
Walk in closet.
24/7 security
Spacious balcony
Spacious compound
Gated Community",120000000," Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",2/28/2022
Luxury Built 4 Bedroom Duplex,"4 bedroom luxury built duplex with fantastic finishings

Nestled secured and beautiful service mini court at Ologolo Lekki LAGOS

Price: N75million

Features:
- Newly built
- Serene and homely environment
- 2 Living rooms
- All Rooms En-suite
- CCTV Cameras
- Estate Security
- Fitted Kitchen (cooker, extractor, microwave)
- Bathtub
- Shower
- Beautiful lightings
- Stamp Concrete Floor
- Spanish/Italian tile finishing
- Estate security
- swimming pool
- Great neighborhood
Etc

Pls call Nnenna 08039177061 For more information and arrangement to view / Email: info@nevickhillsrealty.com",75000000," In A Service Estate At Ologolo, Lekki Phase 2, Lekki, Lagos",Today
Newly Built 5bedroom Terrace Duplex Bq,"Newly built 5 bedroom terrace duplex with Bq, in a well Serene environment

Price: 75m

Location: Ologolo Lekki Lagos

Features:
Serene Estate,,
Packing lot
Interlocking
All rooms en-suite,
Spacious rooms,
Brand new,
Fitted kitchen,
Family Lounge,
Security house,
Quality sanitary fittings,
Water heaters etc

.⁣______________________________
For Enquiries
Call:08087813295

#agathahomes #ebyproperties #investment #forsale #affordable #obamaka #realestate #lekkihomes",75000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Newly Built 4bedroom Terrace Duplex With Bq,,150000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Luxury Built And Exquisite Finished 4 Bedroom Duplex,"4 bedroom luxury built duplex with fantastic finishings

Nestled secured and beautiful service mini court at Ologolo Lekki LAGOS

Price: N140million

Features:
- Newly built
- Serene and homely environment
- 2 Living rooms
- All Rooms En-suite
- CCTV Cameras
- Estate Security
- Fitted Kitchen (cooker, extractor, microwave)
- Bathtub
- Shower
- Beautiful lightings
- Stamp Concrete Floor
- Spanish/Italian tile finishing
- Estate security
- swimming pool
- Great neighborhood
Etc

Pls call Nnenna 08039177061 For more information and arrangement to view / Email: info@nevickhillsrealty.com",140000000," In A Serene And Homely Estate At Ologolo, Lekki Phase 2, Lekki, Lagos",Today
Fully Furnished 5 Bedrooms House With Garden,"Click on video to watch the full video tour of the property.

The best house for you, if you're tired of seeing houses without plants because this has a beautiful garden.


For Sale - Furnished 5 Bedroom House In A Gated Estate With Security Guards.

Located in a serene residential community/estate with security guards off Orchid hotel road, after Chevron, Lekki, Lagos.

Price: ₦200 Million (Negotiable with & without the furniture)

Land size : 600sqm

Features include :
- Fully Furnished.
- All 5 Bedrooms Are Ensuite. One room on the ground floor
- Foyer/Ante Room
- Guest Toilet
- Dedicated dining room
- Spacious kitchen with all the necessary kitchen appliances.
- Dedicated laundry room
- Maid's Room/Boys' Quarters(BQ)
- Beautiful Garden
- Massive Compound with parking space for up to 6 cars.
- Massive Terrace/Balcony
- Very spacious Kitchen with all the necessary appliances.
- Air conditioners(ACs) installed
- Stamped Concrete Floor
- Inbuilt Speakers
- CCTV Cameras
- High ceiling
- Jacuzzi
- Pop Ceiling
- Water Heaters
- Family Lounges
- Water Treatment
- 24 Hours Security

Title: Lagos State Governor's Consent.

The serene estate has good drainage, good road network, good electricity, good security, sport and recreational facilities.

Distress sale!

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com",200000000," Chevron, Lekki Phase 2, Lekki, Lagos",12/21/2021
Contemporary Mansion On 600sqm,"Click on 'video' to watch the walk-through tour of the property.

Massive Contemporary 5 Bedroom Detached House In A Gated Estate With Security Guards.


Location: Orchid, Lekki, Lagos. 5 Mins Drive From Chevron

Price: ₦210 Million Naira

Land size : 600sqm

Features include :
- All Rooms Ensuite
- Cinema
- Swimming Pool
- Massive Terrace/Balcony
- Spacious Compound
- Very Spacious Fitted Kitchen
- Stamped Concrete Floor
- Inbuilt Speakers
- CCTV Cameras
- BQ/Maid's Room
- Jacuzzi
- Pop Ceiling
- Water Heaters
- Family Lounges
- Water Treatment
- 24 Hours Security

Title: Lagos State Governor's Consent.

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com",210000000," Orchid, Lekki Phase 2, Lekki, Lagos",12/21/2021
Newly Built 4 Bedroom Semi Detached Duplex With Bq,"NEWLY BUILT 4 BEDROOM SEMI DETACHED DUPLEX FOR SALE!!!

Location: 2nd toll gate LEKKI
Lagos
Price: 75 MILLION NAIRA

Features:
- All Rooms Ensuite
- POP Ceilings
- Dining Area
- Fitted Kitchen
- Water Heaters
- Stamp Concrete Floors
- Walk-in Closet
- Walk-in Shower
- Spacious living room
- Amazing balcony view
- Treated water
- 24 hrs power supply
- Car port
- Beautiful finishing touches
-------------------------------------------------
0705 248 8067",75000000," 2nd Toll Gate, Lekki, Lagos",Today
Newly Built 5bedroom Fully Detached Duplex With Bq,"Newly built 4bedroom semi detached duplex with Bq, in a well Serene environment

Price: 80m

Location: Ologolo Lekki Lagos

Features:
Serene Estate,,
Packing lot
Interlocking
All rooms en-suite,
Spacious rooms,
Brand new,
Fitted kitchen,
Family Lounge,
Security house,
Quality sanitary fittings,
Water heaters etc

.⁣______________________________
For Enquiries
Call:08087813295

#agathahomes #ebyproperties #investment #forsale #affordable #obamaka #realestate #lekkihomes",80000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Newly Built 4 Bedroom Terraced Duplex With Swimming Pool,"NEWLY BUILT 4 BEDROOM TERRACED DUPLEX FOR SALE!!!

Location: 2nd toll gate LEKKI
Lagos
Price: 57 MILLION NAIRA

Features:
- All Rooms Ensuite
- POP Ceilings
- Dining Area
- Fitted Kitchen
- Water Heaters
- Stamp Concrete Floors
- Walk-in Closet
- Walk-in Shower
- Spacious living room
- Amazing balcony view
- Treated water
- 24 hrs power supply
- Car port
- Beautiful finishing touches
-------------------------------------------------
0705 248 8067",57000000," Orchid Road, Lekki, Lagos",Today
Luxury Two Bedroom Penthouse,"Ezra Courts located in Lekki phase 1
Ready for occupancy before or by end of August 2022.

Only penthouse unit left. Unit has a direct view of the swimming pool area and also get to gaze at the stars
Payment plan available on request
Features include;
Swimming pool view
All rooms ensuite
Extra toilet downstairs
Smart home( automated)
Gym
Swimming pool
24 hours power supply
Recreational park
Two parking spots per unit
Fully fitted kitchen
Security
Street Solar light
Electric perimeter fencing
Remote motorized gate
Landscaped gardens
Smart homes
Intercom

Payment plan available on request",75000000," Lekki Phase 1, Lekki, Lagos",2/8/2022
Luxury Built 4 Bedroom Duplex,"4 bedroom luxury built duplex with fantastic finishings

Nestled secured and beautiful service mini court at Ologolo Lekki LAGOS

Price: N75million

Features:
- Newly built
- Serene and homely environment
- 2 Living rooms
- All Rooms En-suite
- CCTV Cameras
- Estate Security
- Fitted Kitchen (cooker, extractor, microwave)
- Bathtub
- Shower
- Beautiful lightings
- Stamp Concrete Floor
- Spanish/Italian tile finishing
- Estate security
- swimming pool
- Great neighborhood
Etc

Pls call Nnenna 08039177061 For more information and arrangement to view / Email: info@nevickhillsrealty.com",75000000," In A Service Estate At Ologolo, Lekki Phase 2, Lekki, Lagos",Today
Newly Built 5bedroom Terrace Duplex Bq,"Newly built 5 bedroom terrace duplex with Bq, in a well Serene environment

Price: 75m

Location: Ologolo Lekki Lagos

Features:
Serene Estate,,
Packing lot
Interlocking
All rooms en-suite,
Spacious rooms,
Brand new,
Fitted kitchen,
Family Lounge,
Security house,
Quality sanitary fittings,
Water heaters etc

.⁣______________________________
For Enquiries
Call:08087813295

#agathahomes #ebyproperties #investment #forsale #affordable #obamaka #realestate #lekkihomes",75000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Newly Built 4bedroom Terrace Duplex With Bq,,150000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Luxury Built And Exquisite Finished 4 Bedroom Duplex,"4 bedroom luxury built duplex with fantastic finishings

Nestled secured and beautiful service mini court at Ologolo Lekki LAGOS

Price: N140million

Features:
- Newly built
- Serene and homely environment
- 2 Living rooms
- All Rooms En-suite
- CCTV Cameras
- Estate Security
- Fitted Kitchen (cooker, extractor, microwave)
- Bathtub
- Shower
- Beautiful lightings
- Stamp Concrete Floor
- Spanish/Italian tile finishing
- Estate security
- swimming pool
- Great neighborhood
Etc

Pls call Nnenna 08039177061 For more information and arrangement to view / Email: info@nevickhillsrealty.com",140000000," In A Serene And Homely Estate At Ologolo, Lekki Phase 2, Lekki, Lagos",Today
Fully Furnished 5 Bedrooms House With Garden,"Click on video to watch the full video tour of the property.

The best house for you, if you're tired of seeing houses without plants because this has a beautiful garden.


For Sale - Furnished 5 Bedroom House In A Gated Estate With Security Guards.

Located in a serene residential community/estate with security guards off Orchid hotel road, after Chevron, Lekki, Lagos.

Price: ₦200 Million (Negotiable with & without the furniture)

Land size : 600sqm

Features include :
- Fully Furnished.
- All 5 Bedrooms Are Ensuite. One room on the ground floor
- Foyer/Ante Room
- Guest Toilet
- Dedicated dining room
- Spacious kitchen with all the necessary kitchen appliances.
- Dedicated laundry room
- Maid's Room/Boys' Quarters(BQ)
- Beautiful Garden
- Massive Compound with parking space for up to 6 cars.
- Massive Terrace/Balcony
- Very spacious Kitchen with all the necessary appliances.
- Air conditioners(ACs) installed
- Stamped Concrete Floor
- Inbuilt Speakers
- CCTV Cameras
- High ceiling
- Jacuzzi
- Pop Ceiling
- Water Heaters
- Family Lounges
- Water Treatment
- 24 Hours Security

Title: Lagos State Governor's Consent.

The serene estate has good drainage, good road network, good electricity, good security, sport and recreational facilities.

Distress sale!

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com",200000000," Chevron, Lekki Phase 2, Lekki, Lagos",12/21/2021
Contemporary Mansion On 600sqm,"Click on 'video' to watch the walk-through tour of the property.

Massive Contemporary 5 Bedroom Detached House In A Gated Estate With Security Guards.


Location: Orchid, Lekki, Lagos. 5 Mins Drive From Chevron

Price: ₦210 Million Naira

Land size : 600sqm

Features include :
- All Rooms Ensuite
- Cinema
- Swimming Pool
- Massive Terrace/Balcony
- Spacious Compound
- Very Spacious Fitted Kitchen
- Stamped Concrete Floor
- Inbuilt Speakers
- CCTV Cameras
- BQ/Maid's Room
- Jacuzzi
- Pop Ceiling
- Water Heaters
- Family Lounges
- Water Treatment
- 24 Hours Security

Title: Lagos State Governor's Consent.

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com",210000000," Orchid, Lekki Phase 2, Lekki, Lagos",12/21/2021
Newly Built 4 Bedroom Semi Detached Duplex With Bq,"NEWLY BUILT 4 BEDROOM SEMI DETACHED DUPLEX FOR SALE!!!

Location: 2nd toll gate LEKKI
Lagos
Price: 75 MILLION NAIRA

Features:
- All Rooms Ensuite
- POP Ceilings
- Dining Area
- Fitted Kitchen
- Water Heaters
- Stamp Concrete Floors
- Walk-in Closet
- Walk-in Shower
- Spacious living room
- Amazing balcony view
- Treated water
- 24 hrs power supply
- Car port
- Beautiful finishing touches
-------------------------------------------------
0705 248 8067",75000000," 2nd Toll Gate, Lekki, Lagos",Today
Newly Built 5bedroom Fully Detached Duplex With Bq,"Newly built 4bedroom semi detached duplex with Bq, in a well Serene environment

Price: 80m

Location: Ologolo Lekki Lagos

Features:
Serene Estate,,
Packing lot
Interlocking
All rooms en-suite,
Spacious rooms,
Brand new,
Fitted kitchen,
Family Lounge,
Security house,
Quality sanitary fittings,
Water heaters etc

.⁣______________________________
For Enquiries
Call:08087813295

#agathahomes #ebyproperties #investment #forsale #affordable #obamaka #realestate #lekkihomes",80000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Newly Built 4 Bedroom Terraced Duplex With Swimming Pool,"NEWLY BUILT 4 BEDROOM TERRACED DUPLEX FOR SALE!!!

Location: 2nd toll gate LEKKI
Lagos
Price: 57 MILLION NAIRA

Features:
- All Rooms Ensuite
- POP Ceilings
- Dining Area
- Fitted Kitchen
- Water Heaters
- Stamp Concrete Floors
- Walk-in Closet
- Walk-in Shower
- Spacious living room
- Amazing balcony view
- Treated water
- 24 hrs power supply
- Car port
- Beautiful finishing touches
-------------------------------------------------
0705 248 8067",57000000," Orchid Road, Lekki, Lagos",Today
"New, Large 4br Terraced Townhouse","A newly built 4BR Townhouse with domestic staff quarters in secure, well-managed premises, serviced with a swimming pool, gym, backup generator, and security guards.",175000000," Near Imax Cinema, Lekki Phase 1, Lekki, Lagos",8/31/2021
Luxury Built 4 Bedroom Duplex,"4 bedroom luxury built duplex with fantastic finishings

Nestled secured and beautiful service mini court at Ologolo Lekki LAGOS

Price: N75million

Features:
- Newly built
- Serene and homely environment
- 2 Living rooms
- All Rooms En-suite
- CCTV Cameras
- Estate Security
- Fitted Kitchen (cooker, extractor, microwave)
- Bathtub
- Shower
- Beautiful lightings
- Stamp Concrete Floor
- Spanish/Italian tile finishing
- Estate security
- swimming pool
- Great neighborhood
Etc

Pls call Nnenna 08039177061 For more information and arrangement to view / Email: info@nevickhillsrealty.com",75000000," In A Service Estate At Ologolo, Lekki Phase 2, Lekki, Lagos",Today
Newly Built 5bedroom Terrace Duplex Bq,"Newly built 5 bedroom terrace duplex with Bq, in a well Serene environment

Price: 75m

Location: Ologolo Lekki Lagos

Features:
Serene Estate,,
Packing lot
Interlocking
All rooms en-suite,
Spacious rooms,
Brand new,
Fitted kitchen,
Family Lounge,
Security house,
Quality sanitary fittings,
Water heaters etc

.⁣______________________________
For Enquiries
Call:08087813295

#agathahomes #ebyproperties #investment #forsale #affordable #obamaka #realestate #lekkihomes",75000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Newly Built 4bedroom Terrace Duplex With Bq,,150000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Luxury Built And Exquisite Finished 4 Bedroom Duplex,"4 bedroom luxury built duplex with fantastic finishings

Nestled secured and beautiful service mini court at Ologolo Lekki LAGOS

Price: N140million

Features:
- Newly built
- Serene and homely environment
- 2 Living rooms
- All Rooms En-suite
- CCTV Cameras
- Estate Security
- Fitted Kitchen (cooker, extractor, microwave)
- Bathtub
- Shower
- Beautiful lightings
- Stamp Concrete Floor
- Spanish/Italian tile finishing
- Estate security
- swimming pool
- Great neighborhood
Etc

Pls call Nnenna 08039177061 For more information and arrangement to view / Email: info@nevickhillsrealty.com",140000000," In A Serene And Homely Estate At Ologolo, Lekki Phase 2, Lekki, Lagos",Today
Fully Furnished 5 Bedrooms House With Garden,"Click on video to watch the full video tour of the property.

The best house for you, if you're tired of seeing houses without plants because this has a beautiful garden.


For Sale - Furnished 5 Bedroom House In A Gated Estate With Security Guards.

Located in a serene residential community/estate with security guards off Orchid hotel road, after Chevron, Lekki, Lagos.

Price: ₦200 Million (Negotiable with & without the furniture)

Land size : 600sqm

Features include :
- Fully Furnished.
- All 5 Bedrooms Are Ensuite. One room on the ground floor
- Foyer/Ante Room
- Guest Toilet
- Dedicated dining room
- Spacious kitchen with all the necessary kitchen appliances.
- Dedicated laundry room
- Maid's Room/Boys' Quarters(BQ)
- Beautiful Garden
- Massive Compound with parking space for up to 6 cars.
- Massive Terrace/Balcony
- Very spacious Kitchen with all the necessary appliances.
- Air conditioners(ACs) installed
- Stamped Concrete Floor
- Inbuilt Speakers
- CCTV Cameras
- High ceiling
- Jacuzzi
- Pop Ceiling
- Water Heaters
- Family Lounges
- Water Treatment
- 24 Hours Security

Title: Lagos State Governor's Consent.

The serene estate has good drainage, good road network, good electricity, good security, sport and recreational facilities.

Distress sale!

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com",200000000," Chevron, Lekki Phase 2, Lekki, Lagos",12/21/2021
Contemporary Mansion On 600sqm,"Click on 'video' to watch the walk-through tour of the property.

Massive Contemporary 5 Bedroom Detached House In A Gated Estate With Security Guards.


Location: Orchid, Lekki, Lagos. 5 Mins Drive From Chevron

Price: ₦210 Million Naira

Land size : 600sqm

Features include :
- All Rooms Ensuite
- Cinema
- Swimming Pool
- Massive Terrace/Balcony
- Spacious Compound
- Very Spacious Fitted Kitchen
- Stamped Concrete Floor
- Inbuilt Speakers
- CCTV Cameras
- BQ/Maid's Room
- Jacuzzi
- Pop Ceiling
- Water Heaters
- Family Lounges
- Water Treatment
- 24 Hours Security

Title: Lagos State Governor's Consent.

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com",210000000," Orchid, Lekki Phase 2, Lekki, Lagos",12/21/2021
Newly Built 4 Bedroom Semi Detached Duplex With Bq,"NEWLY BUILT 4 BEDROOM SEMI DETACHED DUPLEX FOR SALE!!!

Location: 2nd toll gate LEKKI
Lagos
Price: 75 MILLION NAIRA

Features:
- All Rooms Ensuite
- POP Ceilings
- Dining Area
- Fitted Kitchen
- Water Heaters
- Stamp Concrete Floors
- Walk-in Closet
- Walk-in Shower
- Spacious living room
- Amazing balcony view
- Treated water
- 24 hrs power supply
- Car port
- Beautiful finishing touches
-------------------------------------------------
0705 248 8067",75000000," 2nd Toll Gate, Lekki, Lagos",Today
Newly Built 5bedroom Fully Detached Duplex With Bq,"Newly built 4bedroom semi detached duplex with Bq, in a well Serene environment

Price: 80m

Location: Ologolo Lekki Lagos

Features:
Serene Estate,,
Packing lot
Interlocking
All rooms en-suite,
Spacious rooms,
Brand new,
Fitted kitchen,
Family Lounge,
Security house,
Quality sanitary fittings,
Water heaters etc

.⁣______________________________
For Enquiries
Call:08087813295

#agathahomes #ebyproperties #investment #forsale #affordable #obamaka #realestate #lekkihomes",80000000," In A Well Secured Estate, Ologolo, Lekki, Lagos",Today
Newly Built 4 Bedroom Terraced Duplex With Swimming Pool,"NEWLY BUILT 4 BEDROOM TERRACED DUPLEX FOR SALE!!!

Location: 2nd toll gate LEKKI
Lagos
Price: 57 MILLION NAIRA

Features:
- All Rooms Ensuite
- POP Ceilings
- Dining Area
- Fitted Kitchen
- Water Heaters
- Stamp Concrete Floors
- Walk-in Closet
- Walk-in Shower
- Spacious living room
- Amazing balcony view
- Treated water
- 24 hrs power supply
- Car port
- Beautiful finishing touches
-------------------------------------------------
0705 248 8067",57000000," Orchid Road, Lekki, Lagos",Today
Luxury Two Bedroom Penthouse,"Ezra Courts located in Lekki phase 1
Ready for occupancy before or by end of August 2022.

Only penthouse unit left. Unit has a direct view of the swimming pool area and also get to gaze at the stars
Payment plan available on request
Features include;
Swimming pool view
All rooms ensuite
Extra toilet downstairs
Smart home( automated)
Gym
Swimming pool
24 hours power supply
Recreational park
Two parking spots per unit
Fully fitted kitchen
Security
Street Solar light
Electric perimeter fencing
Remote motorized gate
Landscaped gardens
Smart homes
Intercom

Payment plan available on request",75000000," Lekki Phase 1, Lekki, Lagos",2/8/2022
